submission_id,F1,F1_NPforms,F2,F2_matchness,List,Predicate,acceptability,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemNr,languages,practice,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
983,,part,,+match,3,NA,NA,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,801,English,100,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,12432,0
983,,sum,,random,3,NA,NA,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,802,English,100,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,10900,1
983,,part,,-match,3,NA,NA,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,803,English,16,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,11033,2
983,,sum,,-match,3,grouped,17,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,132,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,8500,0
983,,+filler,,second,3,separated,84,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,905,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,6066,1
983,,part,,+match,3,grouped,100,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,3,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,6501,2
983,,-filler,,first,3,separated,73,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,914,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,6649,3
983,,+filler,,second,3,separated,80,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,911,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,5700,4
983,,+filler,,second,3,separated,82,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,903,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,4585,5
983,,-filler,,first,3,separated,1,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,908,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,11366,6
983,,+filler,,second,3,separated,82,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,921,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,4566,7
983,,-filler,,first,3,separated,4,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,904,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,6467,8
983,,part,,-match,3,grouped,3,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,137,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,8866,9
983,,sum,,+match,3,grouped,100,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,142,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,11334,10
983,,sum,,-match,3,grouped,100,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,96,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,6983,11
983,,+filler,,second,3,separated,83,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,917,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,5349,12
983,,part,,random,3,grouped,6,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,85,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,5851,13
983,,-filler,,first,3,separated,86,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,920,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,5133,14
983,,+filler,,second,3,separated,88,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,915,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,4684,15
983,,-filler,,first,3,separated,6,58,"I felt I was more negative in my responses when the discription didnt matcht what was on the screen, I felt my positive responses my have also been a bit high but I felt there were appropiate.",Graduated High-school,503404,1743335551545,1743335048141,male,902,English,NA,614e65edaccea7bee04b8ad8,67e92e7af39ccd86e100ecb9,67e6ade830042534f0641e1a,10499,16
