List,itemNr,F1_NP,F2_visual,Grouped,Predicate,alternative,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2
1,1,conjunction,notGrouped,Color,grouped,yes,The blue shapes and the orange shapes are grouped.,blue,orange,star,circle,4,3
2,2,definiteP,notGrouped,Color,grouped,yes,The shapes are grouped.,blue,orange,star,triangle,5,5
3,3,conjunction,colorGrouped,Color,grouped,yes,The blue shapes and the orange shapes are grouped.,blue,orange,star,square,4,3
4,4,definiteP,colorGrouped,Color,grouped,yes,The shapes are grouped.,blue,orange,circle,triangle,5,5
5,5,conjunction,randomGrouped,Color,grouped,yes,The blue shapes and the orange shapes are grouped.,blue,orange,circle,square,4,3
6,6,definiteP,randomGrouped,Color,grouped,yes,The shapes are grouped.,blue,orange,triangle,square,3,5
2,7,conjunction,notGrouped,Color,grouped,yes,The blue shapes and the brown shapes are grouped.,blue,brown,star,circle,5,4
3,8,definiteP,notGrouped,Color,grouped,yes,The shapes are grouped.,blue,brown,star,triangle,4,5
4,9,conjunction,colorGrouped,Color,grouped,yes,The blue shapes and the brown shapes are grouped.,blue,brown,star,square,3,4
5,10,definiteP,colorGrouped,Color,grouped,yes,The shapes are grouped.,blue,brown,circle,triangle,3,5
6,11,conjunction,randomGrouped,Color,grouped,yes,The blue shapes and the brown shapes are grouped.,blue,brown,circle,square,5,5
1,12,definiteP,randomGrouped,Color,grouped,yes,The shapes are grouped.,blue,brown,triangle,square,5,4
3,13,conjunction,notGrouped,Color,grouped,yes,The blue shapes and the grey shapes are grouped.,blue,grey,star,circle,3,3
4,14,definiteP,notGrouped,Color,grouped,yes,The shapes are grouped.,blue,grey,star,triangle,3,4
5,15,conjunction,colorGrouped,Color,grouped,yes,The blue shapes and the grey shapes are grouped.,blue,grey,star,square,5,5
6,16,definiteP,colorGrouped,Color,grouped,yes,The shapes are grouped.,blue,grey,circle,triangle,3,3
1,17,conjunction,randomGrouped,Color,grouped,yes,The blue shapes and the grey shapes are grouped.,blue,grey,circle,square,4,3
2,18,definiteP,randomGrouped,Color,grouped,yes,The shapes are grouped.,blue,grey,triangle,square,4,4
4,19,conjunction,notGrouped,Color,grouped,yes,The orange shapes and the brown shapes are grouped.,orange,brown,star,circle,5,5
5,20,definiteP,notGrouped,Color,grouped,yes,The shapes are grouped.,orange,brown,star,triangle,4,4
6,21,conjunction,colorGrouped,Color,grouped,yes,The orange shapes and the brown shapes are grouped.,orange,brown,star,square,3,5
1,22,definiteP,colorGrouped,Color,grouped,yes,The shapes are grouped.,orange,brown,circle,triangle,4,3
2,23,conjunction,randomGrouped,Color,grouped,yes,The orange shapes and the brown shapes are grouped.,orange,brown,circle,square,4,4
3,24,definiteP,randomGrouped,Color,grouped,yes,The shapes are grouped.,orange,brown,triangle,square,3,4
5,25,conjunction,notGrouped,Color,grouped,yes,The orange shapes and the grey shapes are grouped.,orange,grey,star,circle,4,5
6,26,definiteP,notGrouped,Color,grouped,yes,The shapes are grouped.,orange,grey,star,triangle,3,5
1,27,conjunction,colorGrouped,Color,grouped,yes,The orange shapes and the grey shapes are grouped.,orange,grey,star,square,5,3
2,28,definiteP,colorGrouped,Color,grouped,yes,The shapes are grouped.,orange,grey,circle,triangle,3,3
3,29,conjunction,randomGrouped,Color,grouped,yes,The orange shapes and the grey shapes are grouped.,orange,grey,circle,square,5,3
4,30,definiteP,randomGrouped,Color,grouped,yes,The shapes are grouped.,orange,grey,triangle,square,3,5
6,31,conjunction,notGrouped,Color,grouped,yes,The grey shapes and the brown shapes are grouped.,grey,brown,star,circle,4,5
1,32,definiteP,notGrouped,Color,grouped,yes,The shapes are grouped.,grey,brown,star,triangle,5,5
2,33,conjunction,colorGrouped,Color,grouped,yes,The grey shapes and the brown shapes are grouped.,grey,brown,star,square,5,5
3,34,definiteP,colorGrouped,Color,grouped,yes,The shapes are grouped.,grey,brown,circle,triangle,4,4
4,35,conjunction,randomGrouped,Color,grouped,yes,The grey shapes and the brown shapes are grouped.,grey,brown,circle,square,5,3
5,36,definiteP,randomGrouped,Color,grouped,yes,The shapes are grouped.,grey,brown,triangle,square,4,5
1,37,conjunction,notGrouped,Shape,grouped,yes,The stars and the circles are grouped.,blue,orange,star,circle,5,5
2,38,definiteP,notGrouped,Shape,grouped,yes,The shapes are grouped.,blue,orange,star,triangle,4,3
3,39,conjunction,colorGrouped,Shape,grouped,yes,The stars and the squares are grouped.,blue,orange,star,square,4,5
4,40,definiteP,colorGrouped,Shape,grouped,yes,The shapes are grouped.,blue,orange,circle,triangle,5,5
5,41,conjunction,randomGrouped,Shape,grouped,yes,The circles and the squares are grouped.,blue,orange,circle,square,4,3
6,42,definiteP,randomGrouped,Shape,grouped,yes,The shapes are grouped.,blue,orange,triangle,square,4,5
