List,itemNr,F1_NP,F2_visual,Grouped,Predicate,alternative,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2,Color3,color_entropy,spatial_entropy,is_filler
1,1,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,orange,red,squares,,4,3,,0.9182958340544894,1.9182958340544896,no
2,2,definiteP,colorGrouped,Color,grouped,no,The stars are grouped.,purple,red,stars,,5,5,,0.9940302114769566,3.095795255000934,no
3,3,definiteP,randomGrouped,Color,grouped,no,The diamonds are grouped.,grey,red,diamonds,,4,3,,0.9182958340544894,2.855388542207534,no
1,4,definiteP,notGrouped,Color,grouped,no,The triangles are grouped.,purple,blue,triangles,,5,5,,0.9709505944546688,2.3219280948873626,no
2,5,definiteP,colorGrouped,Color,grouped,no,The triangles are grouped.,grey,red,triangles,,4,3,,0.9940302114769566,2.913977073182752,no
3,6,definiteP,randomGrouped,Color,grouped,no,The triangles are grouped.,green,purple,triangles,,3,5,,0.7793498372920851,3.0269868333592873,no
1,7,definiteP,notGrouped,Color,grouped,no,The stars are grouped.,orange,green,stars,,5,4,,0.9852281360342515,2.521640636343319,no
2,8,definiteP,colorGrouped,Color,grouped,no,The squares are grouped.,purple,green,squares,,4,5,,1.0,3.3787834934861762,no
3,9,definiteP,randomGrouped,Color,grouped,no,The stars are grouped.,red,blue,stars,,3,4,,0.8631205685666311,2.896291529045928,no
1,10,definiteP,notGrouped,Color,grouped,no,The triangles are grouped.,grey,yellow,triangles,,3,5,,0.9709505944546688,2.3219280948873626,no
2,11,definiteP,colorGrouped,Color,grouped,no,The triangles are grouped.,grey,orange,triangles,,5,5,,1.0,3.2516291673878226,no
3,12,definiteP,randomGrouped,Color,grouped,no,The stars are grouped.,brown,grey,stars,,5,4,,0.8631205685666311,3.3248629576173565,no
1,13,definiteP,notGrouped,Color,grouped,no,The stars are grouped.,red,purple,stars,,3,3,,0.9182958340544894,2.251629167387823,no
2,14,definiteP,colorGrouped,Color,grouped,no,The crosses are grouped.,green,red,crosses,,3,4,,1.0,2.9219280948873627,no
3,15,definiteP,randomGrouped,Color,grouped,no,The circles are grouped.,yellow,grey,circles,,5,5,,1.0,2.6464393446710157,no
1,16,definiteP,notGrouped,Color,grouped,no,The stars are grouped.,orange,yellow,stars,,3,3,,0.9852281360342515,2.521640636343318,no
2,17,definiteP,colorGrouped,Color,grouped,no,The triangles are grouped.,grey,green,triangles,,4,3,,1.0,3.2516291673878235,no
3,18,definiteP,randomGrouped,Color,grouped,no,The crosses are grouped.,blue,yellow,crosses,,4,4,,0.9709505944546688,3.321928094887362,no
1,19,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,yellow,blue,squares,,5,5,,0.6500224216483541,2.251629167387823,no
2,20,definiteP,colorGrouped,Color,grouped,no,The circles are grouped.,yellow,grey,circles,,4,4,,0.9940302114769566,3.277613436819116,no
3,21,definiteP,randomGrouped,Color,grouped,no,The squares are grouped.,grey,red,squares,,3,5,,1.0,2.7219280948873625,no
1,22,definiteP,notGrouped,Color,grouped,no,The crosses are grouped.,grey,blue,crosses,,4,3,,0.9709505944546688,2.3219280948873626,no
2,23,definiteP,colorGrouped,Color,grouped,no,The crosses are grouped.,brown,blue,crosses,,4,4,,1.0,2.855388542207534,no
3,24,definiteP,randomGrouped,Color,grouped,no,The stars are grouped.,orange,grey,stars,,3,4,,0.9709505944546688,3.121928094887363,no
1,25,definiteP,notGrouped,Color,grouped,no,The diamonds are grouped.,purple,grey,diamonds,,4,5,,0.9182958340544894,2.2516291673878226,no
2,26,definiteP,colorGrouped,Color,grouped,no,The triangles are grouped.,blue,grey,triangles,,3,5,,1.0,3.084962500721156,no
3,27,definiteP,randomGrouped,Color,grouped,no,The circles are grouped.,brown,yellow,circles,,5,3,,0.8812908992306927,3.121928094887363,no
1,28,definiteP,notGrouped,Color,grouped,no,The circles are grouped.,grey,red,circles,,3,3,,0.6500224216483541,2.251629167387823,no
2,29,definiteP,colorGrouped,Color,grouped,no,The squares are grouped.,orange,yellow,squares,,5,3,,1.0,3.521640636343318,no
3,30,definiteP,randomGrouped,Color,grouped,no,The stars are grouped.,yellow,brown,stars,,3,5,,0.9456603046006401,3.095795255000934,no
1,31,definiteP,notGrouped,Color,grouped,no,The circles are grouped.,purple,yellow,circles,,4,5,,0.9182958340544894,2.251629167387823,no
2,32,definiteP,colorGrouped,Color,grouped,no,The stars are grouped.,brown,purple,stars,,5,5,,1.0,2.9219280948873627,no
3,33,definiteP,randomGrouped,Color,grouped,no,The squares are grouped.,blue,red,squares,,5,5,,1.0,3.3787834934861762,no
1,34,definiteP,notGrouped,Color,grouped,no,The stars are grouped.,grey,yellow,stars,,4,4,,0.6500224216483541,2.584962500721156,no
2,35,definiteP,colorGrouped,Color,grouped,no,The stars are grouped.,blue,grey,stars,,5,3,,0.9957274520849256,2.4493118330264454,no
3,36,definiteP,randomGrouped,Color,grouped,no,The stars are grouped.,brown,blue,stars,,4,5,,0.74959525725948,3.235926350629033,no
1,37,definiteP,notGrouped,Shape,grouped,no,The triangles are grouped.,green,blue,triangles,,5,5,,1.0,2.251629167387823,no
2,38,definiteP,colorGrouped,Shape,grouped,no,The triangles are grouped.,green,brown,triangles,,4,3,,0.9940302114769566,2.913977073182752,no
