List,itemNr,F1_NP,F2_visual,Grouped,Predicate,alternative,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2,Color3,color_entropy,spatial_entropy,is_filler
1,1,definiteP,notGrouped,Color,grouped,no,The diamonds are grouped.,brown,blue,diamonds,,4,3,,0.9182958340544894,1.9182958340544896,no
2,2,definiteP,colorGrouped,Color,grouped,no,The squares are grouped.,blue,grey,squares,,5,5,,0.9940302114769566,3.095795255000934,no
3,3,definiteP,randomGrouped,Color,grouped,no,The squares are grouped.,purple,green,squares,,4,3,,0.9182958340544894,2.855388542207534,no
2,4,definiteP,notGrouped,Color,grouped,no,The stars are grouped.,blue,orange,stars,,5,5,,0.9709505944546688,2.3219280948873626,no
3,5,definiteP,colorGrouped,Color,grouped,no,The circles are grouped.,brown,purple,circles,,4,3,,0.9940302114769566,2.913977073182752,no
1,6,definiteP,randomGrouped,Color,grouped,no,The squares are grouped.,blue,purple,squares,,3,5,,0.7793498372920851,3.0269868333592864,no
3,7,definiteP,notGrouped,Color,grouped,no,The circles are grouped.,blue,grey,circles,,5,4,,0.9852281360342515,2.521640636343319,no
2,8,definiteP,colorGrouped,Color,grouped,no,The stars are grouped.,blue,purple,stars,,4,5,,1.0,3.3787834934861762,no
1,9,definiteP,randomGrouped,Color,grouped,no,The triangles are grouped.,grey,brown,triangles,,3,4,,0.8631205685666311,2.896291529045928,no
1,10,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,grey,brown,squares,,3,5,,0.9709505944546688,2.3219280948873626,no
2,11,definiteP,colorGrouped,Color,grouped,no,The stars are grouped.,purple,green,stars,,5,5,,1.0,3.2516291673878235,no
3,12,definiteP,randomGrouped,Color,grouped,no,The circles are grouped.,blue,purple,circles,,5,4,,0.8631205685666311,3.3248629576173565,no
2,13,definiteP,notGrouped,Color,grouped,no,The triangles are grouped.,purple,orange,triangles,,3,3,,0.9182958340544894,2.251629167387823,no
3,14,definiteP,colorGrouped,Color,grouped,no,The squares are grouped.,purple,green,squares,,3,4,,1.0,2.9219280948873627,no
1,15,definiteP,randomGrouped,Color,grouped,no,The stars are grouped.,red,grey,stars,,5,5,,1.0,2.6464393446710153,no
3,16,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,yellow,purple,squares,,3,3,,0.9852281360342515,2.521640636343318,no
2,17,definiteP,colorGrouped,Color,grouped,no,The crosses are grouped.,grey,green,crosses,,4,3,,1.0,3.2516291673878226,no
1,18,definiteP,randomGrouped,Color,grouped,no,The squares are grouped.,red,brown,squares,,4,4,,0.9709505944546688,3.321928094887362,no
1,19,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,red,green,squares,,5,5,,0.6500224216483541,2.251629167387823,no
2,20,definiteP,colorGrouped,Color,grouped,no,The stars are grouped.,purple,brown,stars,,4,4,,0.9940302114769566,3.277613436819116,no
3,21,definiteP,randomGrouped,Color,grouped,no,The circles are grouped.,red,green,circles,,3,5,,1.0,2.7219280948873625,no
2,22,definiteP,notGrouped,Color,grouped,no,The diamonds are grouped.,brown,grey,diamonds,,4,3,,0.9709505944546688,2.3219280948873626,no
3,23,definiteP,colorGrouped,Color,grouped,no,The circles are grouped.,brown,yellow,circles,,4,4,,1.0,2.855388542207534,no
1,24,definiteP,randomGrouped,Color,grouped,no,The diamonds are grouped.,grey,orange,diamonds,,3,4,,0.9709505944546688,3.121928094887363,no
3,25,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,green,brown,squares,,4,5,,0.9182958340544894,2.2516291673878226,no
2,26,definiteP,colorGrouped,Color,grouped,no,The diamonds are grouped.,brown,yellow,diamonds,,3,5,,1.0,3.084962500721156,no
1,27,definiteP,randomGrouped,Color,grouped,no,The squares are grouped.,brown,orange,squares,,5,3,,0.8812908992306927,3.121928094887363,no
1,28,definiteP,notGrouped,Color,grouped,no,The circles are grouped.,purple,grey,circles,,3,3,,0.6500224216483541,2.251629167387823,no
