List,itemNr,F1_NP,F2_visual,Grouped,Predicate,alternative,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2,Color3,color_entropy,spatial_entropy,is_filler
1,1,conjunction,notGrouped,Color,grouped,yes,The red triangles and the yellow triangles are grouped.,red,yellow,triangles,squares,4,3,blue,1.5413152774012366,3.7034651896016477,no
2,2,definiteP,notGrouped,Color,grouped,yes,The crosses are grouped.,brown,green,crosses,diamonds,5,5,orange,1.55352095112747,3.379470570797253,no
3,3,conjunction,colorGrouped,Color,grouped,yes,The grey crosses and the brown crosses are grouped.,grey,brown,crosses,circles,4,3,yellow,1.577428772913488,3.7406015629507237,no
4,4,definiteP,colorGrouped,Color,grouped,yes,The triangles are grouped.,green,grey,triangles,crosses,5,5,red,1.528368899209021,3.8035088547976796,no
5,5,conjunction,randomGrouped,Color,grouped,yes,The orange triangles and the purple triangles are grouped.,orange,purple,triangles,diamonds,4,3,brown,1.5631922012781003,3.935398667466764,no
6,6,definiteP,randomGrouped,Color,grouped,yes,The circles are grouped.,purple,brown,circles,diamonds,3,5,green,1.4949188482339508,3.516027641266231,no
2,7,conjunction,notGrouped,Color,grouped,yes,The red diamonds and the grey diamonds are grouped.,red,grey,diamonds,crosses,5,4,green,1.54515313983491,3.3680424225727155,no
3,8,definiteP,notGrouped,Color,grouped,yes,The circles are grouped.,yellow,brown,circles,triangles,4,5,red,1.4488156357251847,3.463280517810811,no
4,9,conjunction,colorGrouped,Color,grouped,yes,The grey crosses and the blue crosses are grouped.,grey,blue,crosses,triangles,3,4,orange,1.5379841082136028,3.849223912390624,no
5,10,definiteP,colorGrouped,Color,grouped,yes,The triangles are grouped.,purple,orange,triangles,squares,3,5,red,1.584962500721156,4.123231428797621,no
6,11,conjunction,randomGrouped,Color,grouped,yes,The red stars and the orange stars are grouped.,red,orange,stars,squares,5,5,purple,1.5600508789044925,3.9407598325400897,no
1,12,definiteP,randomGrouped,Color,grouped,yes,The stars are grouped.,red,yellow,stars,circles,5,4,purple,1.5751145914106572,3.5944656369614516,no
3,13,conjunction,notGrouped,Color,grouped,yes,The red crosses and the green crosses are grouped.,red,green,crosses,triangles,3,3,purple,1.5722451785579226,3.655045546825804,no
4,14,definiteP,notGrouped,Color,grouped,yes,The diamonds are grouped.,red,green,diamonds,squares,3,4,yellow,1.5156546557441943,3.3716535224393334,no
5,15,conjunction,colorGrouped,Color,grouped,yes,The red stars and the blue stars are grouped.,red,blue,stars,squares,5,5,purple,1.5743317855445227,3.8492239123906247,no
6,16,definiteP,colorGrouped,Color,grouped,yes,The squares are grouped.,yellow,green,squares,triangles,3,3,grey,1.5485806065228545,3.8731406795131327,no
